Date,Flag,Category,Source,Target,Title,URL,Summary,Summary_X
2026/04/17,,,Nature,,Quantum computers take on health care: light-sensitive cancer drugs win US$2-million contest,https://www.nature.com/articles/d41586-026-01236-x,"<p>Nature, Published online: 16 April 2026; <a href=""https://www.nature.com/articles/d41586-026-01236-x"">doi:10.1038/d41586-026-01236-x</a></p>Quantum machines are making inroads into biology but have no ‘advantage’ over classical machines yet.",
2026/04/17,,,Nature,,Pixelated quantum-dot superlattice LEDs,https://www.nature.com/articles/s41586-026-10392-z,"<p>Nature, Published online: 15 April 2026; <a href=""https://www.nature.com/articles/s41586-026-10392-z"">doi:10.1038/s41586-026-10392-z</a></p>Scalable fabrication of ordered perovskite quantum dot superlattices enables high-efficiency, ultrahigh-resolution LEDs and active-matrix displays with great",
2026/04/17,,,Nature,,NSF awards record number of coveted PhD fellowships in surprise move,https://www.nature.com/articles/d41586-026-01119-1,"<p>Nature, Published online: 14 April 2026; <a href=""https://www.nature.com/articles/d41586-026-01119-1"">doi:10.1038/d41586-026-01119-1</a></p>Quantum science and AI research are big winners just a year after the US funding giant slashed its Graduate Research Fellowship Program awards in half.",
"Fri, 17 Apr 2026 11:04:20 +0000",,,QCR,,C12 Unveils Roadmap to Utility-Scale Fault-Tolerant Quantum Computing by 2033,https://quantumcomputingreport.com/c12-unveils-roadmap-to-utility-scale-fault-tolerant-quantum-computing-by-2033/,"<p>French quantum startup C12 has released its official product roadmap, outlining a decade-long path toward a utility-scale, fault-tolerant quantum computer. The strategy is built on the company’s unique architectural approach: using purified carbon-12 nanotubes to host spin qubits. By leveraging t",
"Fri, 17 Apr 2026 02:08:41 +0000",,,QCR,,Alice & Bob Completes Accelerated Hiring of 100 Employees Amid Global Tech Slowdown,https://quantumcomputingreport.com/alice-bob-completes-accelerated-hiring-of-100-employees-amid-global-tech-slowdown/,"<p>Paris-based quantum leader Alice &amp; Bob has announced the completion of its ambitious recruitment drive, hiring over 100 employees in just seven months. This surge brings the company’s total headcount to 251, reaching its target 30% faster than the original June 2026 schedule. This milestone c",
"Fri, 17 Apr 2026 01:51:42 +0000",,,QCR,,Algorithmiq Wins $2 Million Q4Bio Prize for Quantum-Driven Cancer Therapy Simulation,https://quantumcomputingreport.com/algorithmiq-wins-2-million-q4bio-prize-for-quantum-driven-cancer-therapy-simulation/,"<p>Wellcome Leap has announced that a multidisciplinary team led by the Finnish quantum software company Algorithmiq is the winner of the $2 million Quantum for Bio (Q4Bio) Supported Challenge prize. The 30-month, $50 million initiative was designed to accelerate the development of quantum algorithm",
"Fri, 17 Apr 2026 01:26:25 +0000",,,QCR,,SBQuantum Secures $4M Seed Round and Appoints New CEO to Scale US Operations,https://quantumcomputingreport.com/sbquantum-secures-4m-seed-round-and-appoints-new-ceo-to-scale-us-operations/,"<p>SBQuantum, a Sherbrooke-based developer of quantum diamond magnetometers, has announced the closing of an oversubscribed $4 million USD seed round. The financing, led by Quantonation and Quantacet with participation from Investissement Québec, represents the first private investment in the compan",
"Fri, 17 Apr 2026 01:23:21 +0000",,,QCR,,Voyager and IBM Demonstrate Post-Quantum Security on the International Space Station,https://quantumcomputingreport.com/voyager-and-ibm-demonstrate-post-quantum-security-on-the-international-space-station/,"<p>Voyager Space and IBM have successfully demonstrated a post-quantum secured communication link between Earth and the International Space Station (ISS). This orbital milestone utilized Voyager’s Space Edge™ Micro Datacenter, which was launched to the ISS in September 2025, and IBM Quantum Safe Rem",
"Thu, 16 Apr 2026 12:09:10 +0000",,,QCR,,Andhra Pradesh Launches India’s First Open-Access Quantum Testbeds,https://quantumcomputingreport.com/andhra-pradesh-launches-indias-first-open-access-quantum-testbeds/,"<p>Andhra Pradesh Chief Minister N. Chandrababu Naidu has inaugurated India’s first open-access quantum computer testbeds, marking a significant milestone for the Amaravati Quantum Valley project. Launched on World Quantum Day, the initiative features two distinct platforms: the 1Q testbed at Medha ",
"Thu, 16 Apr 2026 10:52:23 +0000",,,QCR,,ParityQC and IBM Demonstrate 52-Qubit Quantum Fourier Transform on Heron Architecture,https://quantumcomputingreport.com/parityqc-and-ibm-demonstrate-52-qubit-quantum-fourier-transform-on-heron-architecture/,"<p>ParityQC, a European quantum architecture company, has announced a performance benchmark for the Quantum Fourier Transform (QFT), a foundational algorithm for cryptography, finance, and materials science. Utilizing the IBM Quantum Heron r3 processor, the team successfully executed the algorithm a",
"Thu, 16 Apr 2026 10:21:00 +0000",,,QCR,,PraktiQOM Project Launched to Advance Quantum Optimization in Semiconductor Manufacturing,https://quantumcomputingreport.com/praktiqom-project-launched-to-advance-quantum-optimization-in-semiconductor-manufacturing/,"<p>Freie Universität Berlin, Technische Universität Berlin, ParityQC, and NXP Semiconductors Germany have launched PraktiQOM, a collaborative project aimed at achieving practical quantum advantages for complex optimization problems. Funded by the German Federal Ministry of Research, Technology, and ",
